tweet_id,timestamp,source,rating_numerator,name,isdog,dogbreed,p_value,favorite_count,retweet_count,expanded_urls
670338931251150849,2015-11-27 20:30:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Butters,True,Cairn,0.245033,424,113,https://twitter.com/dog_rates/status/670338931251150849/photo/1
670319130621435904,2015-11-27 19:11:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,None,True,Irish_terrier,0.254856,3896,1245,https://twitter.com/dog_rates/status/670319130621435904/photo/1
670303360680108032,2015-11-27 18:09:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,None,True,Shetland_sheepdog,0.380278,432,139,https://twitter.com/dog_rates/status/670303360680108032/photo/1
670290420111441920,2015-11-27 17:17:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,Sandra,True,Chihuahua,0.368876,711,292,https://twitter.com/dog_rates/status/670290420111441920/photo/1
670093938074779648,2015-11-27 04:16:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,Wally,True,Toy_poodle,0.383346,1034,340,https://twitter.com/dog_rates/status/670093938074779648/photo/1
670086499208155136,2015-11-27 03:47:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,None,True,German_short-haired_pointer,0.273492,704,258,https://twitter.com/dog_rates/status/670086499208155136/photo/1
670079681849372674,2015-11-27 03:20:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Fabio,False,Mud_turtle,0.157477,2237,1264,https://twitter.com/dog_rates/status/670079681849372674/photo/1
670073503555706880,2015-11-27 02:55:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Winston,True,Malamute,0.6018859999999999,1588,806,https://twitter.com/dog_rates/status/670073503555706880/photo/1
670069087419133954,2015-11-27 02:38:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5,Randall,False,Boathouse,0.313829,634,246,https://twitter.com/dog_rates/status/670069087419133954/photo/1
670061506722140161,2015-11-27 02:08:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,Liam,True,Italian_greyhound,0.329339,772,348,https://twitter.com/dog_rates/status/670061506722140161/photo/1
670055038660800512,2015-11-27 01:42:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3,Tommy,False,Snail,0.563631,673,337,https://twitter.com/dog_rates/status/670055038660800512/photo/1
670046952931721218,2015-11-27 01:10:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",11,Ben,True,Blenheim_spaniel,0.998335,650,181,https://twitter.com/dog_rates/status/670046952931721218/photo/1
670040295598354432,2015-11-27 00:43:49,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,None,False,Web_site,0.901552,762,114,https://twitter.com/dog_rates/status/670040295598354432/photo/1
670037189829525505,2015-11-27 00:31:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",5,None,False,Pot,0.273767,590,281,https://twitter.com/dog_rates/status/670037189829525505/photo/1
670003130994700288,2015-11-26 22:16:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,Raphael,True,Beagle,0.375313,335,95,https://twitter.com/dog_rates/status/670003130994700288/photo/1
669993076832759809,2015-11-26 21:36:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9,Zoey,False,Piggy_bank,0.17632,328,86,https://twitter.com/dog_rates/status/669993076832759809/photo/1
669972011175813120,2015-11-26 20:12:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",10,None,False,Teddy,0.953071,449,163,https://twitter.com/dog_rates/status/669972011175813120/photo/1
